# Generated Wed 21 Jun 2017 12:37:23 PM  by mdupont
# CSD of plasma ionizing from 1e4K to 2.321e7K for ne*t = 1e10 cm^-3 s
Z Ion Pop
 1  0 0.000000e+00
 1  1 1.000000e+00
 2  0 0.000000e+00
 2  1 5.397187e-07
 2  2 9.999995e-01
 6  0 0.000000e+00
 6  1 0.000000e+00
 6  2 0.000000e+00
 6  3 7.961259e-07
 6  4 1.187291e-02
 6  5 3.416361e-01
 6  6 6.464902e-01
 7  0 2.356871e-08
 7  1 0.000000e+00
 7  2 0.000000e+00
 7  3 0.000000e+00
 7  4 2.059282e-05
 7  5 9.624501e-02
 7  6 5.492496e-01
 7  7 3.544848e-01
 8  0 1.997079e-08
 8  1 0.000000e+00
 8  2 0.000000e+00
 8  3 0.000000e+00
 8  4 2.076427e-08
 8  5 2.117784e-04
 8  6 2.853824e-01
 8  7 5.579349e-01
 8  8 1.564708e-01
10  0 0.000000e+00
10  1 2.675423e-11
10  2 4.890294e-11
10  3 1.104350e-10
10  4 2.089712e-10
10  5 2.621750e-08
10  6 9.410108e-05
10  7 2.912766e-02
10  8 7.130007e-01
10  9 2.411088e-01
10 10 1.666873e-02
12  0 0.000000e+00
12  1 7.168522e-11
12  2 1.072706e-10
12  3 1.620040e-10
12  4 3.155605e-10
12  5 7.093315e-10
12  6 2.799271e-07
12  7 2.876291e-04
12  8 2.287234e-02
12  9 2.774104e-01
12 10 6.461664e-01
12 11 5.223109e-02
12 12 1.031850e-03
14  0 1.783701e-08
14  1 0.000000e+00
14  2 0.000000e+00
14  3 0.000000e+00
14  4 0.000000e+00
14  5 0.000000e+00
14  6 5.514001e-10
14  7 1.137579e-06
14  8 5.899725e-04
14  9 2.614024e-02
14 10 2.263847e-01
14 11 4.765535e-01
14 12 2.644732e-01
14 13 5.821829e-03
14 14 3.544452e-05
16  0 0.000000e+00
16  1 7.305673e-11
16  2 1.849061e-10
16  3 3.649529e-10
16  4 8.196441e-10
16  5 5.455348e-10
16  6 1.661331e-09
16  7 1.306699e-07
16  8 4.422525e-05
16  9 3.004336e-03
16 10 4.832157e-02
16 11 2.447840e-01
16 12 4.168071e-01
16 13 2.424530e-01
16 14 4.429194e-02
16 15 2.930677e-04
16 16 5.847065e-07
18  0 0.000000e+00
18  1 1.952496e-11
18  2 4.514182e-11
18  3 7.955483e-11
18  4 1.325184e-10
18  5 2.144344e-10
18  6 3.544751e-10
18  7 1.537050e-09
18  8 2.810138e-06
18  9 3.388344e-04
18 10 9.769882e-03
18 11 9.155610e-02
18 12 2.780124e-01
18 13 3.674993e-01
18 14 2.043247e-01
18 15 4.507126e-02
18 16 3.417577e-03
18 17 7.182250e-06
18 18 4.658547e-09
20  0 3.859022e-09
20  1 0.000000e+00
20  2 0.000000e+00
20  3 0.000000e+00
20  4 0.000000e+00
20  5 0.000000e+00
20  6 0.000000e+00
20  7 0.000000e+00
20  8 1.148772e-08
20  9 2.446773e-06
20 10 1.598933e-03
20 11 1.786496e-02
20 12 1.291094e-01
20 13 3.186489e-01
20 14 3.270228e-01
20 15 1.637579e-01
20 16 3.809688e-02
20 17 3.762687e-03
20 18 1.349705e-04
20 19 9.441388e-08
20 20 1.088877e-11
26  0 1.347693e-08
26  1 0.000000e+00
26  2 0.000000e+00
26  3 0.000000e+00
26  4 0.000000e+00
26  5 0.000000e+00
26  6 0.000000e+00
26  7 0.000000e+00
26  8 0.000000e+00
26  9 4.704915e-10
26 10 1.790409e-07
26 11 7.102458e-06
26 12 2.864166e-04
26 13 4.108250e-03
26 14 3.567378e-02
26 15 9.996333e-02
26 16 4.639791e-01
26 17 3.008245e-01
26 18 7.994060e-02
26 19 1.377850e-02
26 20 1.360109e-03
26 21 7.582675e-05
26 22 2.241725e-06
26 23 3.171010e-08
26 24 8.536029e-10
26 25 0.000000e+00
26 26 6.186241e-15
28  0 1.760509e-08
28  1 4.544336e-11
28  2 5.374826e-11
28  3 1.009995e-10
28  4 1.311124e-10
28  5 1.917385e-10
28  6 2.573006e-10
28  7 3.352464e-10
28  8 5.272297e-10
28  9 8.570244e-10
28 10 1.855200e-08
28 11 2.471791e-06
28 12 1.586907e-04
28 13 2.319835e-03
28 14 1.596788e-02
28 15 6.622173e-02
28 16 1.872254e-01
28 17 2.452966e-01
28 18 3.750604e-01
28 19 9.529498e-02
28 20 1.144584e-02
28 21 9.587261e-04
28 22 4.608108e-05
28 23 1.305529e-06
28 24 2.079289e-08
28 25 0.000000e+00
28 26 2.491818e-10
28 27 6.141849e-13
28 28 0.000000e+00
