Z z1
 1  0  0.0748538
 1  1  0.925146
 2  0  0.0140692
 2  1  0.319885
 2  2  0.666046
 6  0  0.00945541
 6  1  0.195439
 6  2  0.330324
 6  3  0.127007
 6  4  0.297784
 6  5  0.0390775
 6  6  0.00091267
 7  0  0.00727355
 7  1  0.155207
 7  2  0.588226
 7  3  0.109011
 7  4  0.0647006
 7  5  0.0742756
 7  6  0.00130481
 7  7  1.33762e-06
 8  0  0.00183766
 8  1  0.10998
 8  2  0.494687
 8  3  0.28441
 8  4  0.0369859
 8  5  0.0571922
 8  6  0.0148964
 8  7  1.02639e-05
 8  8  2.50947e-10
10  0  0.00102449
10  1  0.099443
10  2  0.672257
10  3  0.191927
10  4  0.0326
10  5  0.00138597
10  6  0.000257722
10  7  0.000859649
10  8  0.000245903
10  9  6.05629e-11
10 10  3.83696e-19
12  0  0.00428742
12  1  0.0114274
12  2  0.26618
12  3  0.615078
12  4  0.0999687
12  5  0.00302393
12  6  2.20486e-05
12  7  4.96496e-06
12  8  5.55472e-06
12  9  1.12227e-06
12 10  1.54482e-07
12 11  4.14656e-18
12 12  0
14  0  0.00422919
14  1  0.0711154
14  2  0.149977
14  3  0.193811
14  4  0.473418
14  5  0.104849
14  6  0.00260092
14  7  5.43678e-08
14  8  5.25768e-13
14  9  9.58809e-13
14 10  5.82486e-13
14 11  2.72804e-12
14 12  1.51104e-14
14 13  0
14 14  0
16  0  0.00102136
16  1  0.0575625
16  2  0.498259
16  3  0.244542
16  4  0.0335918
16  5  0.106822
16  6  0.0573164
16  7  0.00088459
16  8  4.4671e-15
16  9  1.16431e-16
16 10  5.2855e-20
16 11  2.78364e-20
16 12  7.08066e-25
16 13  4.47108e-25
16 14  7.87695e-25
16 15  0
16 16  0
18  0  0.000158854
18  1  0.0106319
18  2  0.102672
18  3  0.417404
18  4  0.464548
18  5  0.00145175
18  6  0.00029386
18  7  0.00189315
18  8  0.000946813
18  9  4.61687e-07
18 10  1.38901e-13
18 11  5.74261e-21
18 12  1.59034e-33
18 13  3.35141e-45
18 14  2.39546e-52
18 15  5.70502e-52
18 16  5.25902e-52
18 17  0
18 18  0
20  0  0.000152085
20  1  0.00257362
20  2  0.0441758
20  3  0.204784
20  4  0.385033
20  5  0.304497
20  6  0.0587715
20  7  2.10179e-06
20  8  1.16629e-06
20  9  5.95005e-06
20 10  3.71778e-06
20 11  4.56739e-11
20 12  3.62345e-23
20 13  2.96319e-36
20 14  3.88449e-47
20 15  8.59473e-48
20 16  6.33161e-61
20 17  3.06214e-74
20 18  1.85191e-75
20 19  0
20 20  0
26  0  6.08305e-05
26  1  0.00279332
26  2  0.0626985
26  3  0.308458
26  4  0.427124
26  5  0.178094
26  6  0.0202715
26  7  0.000498971
26  8  2.66129e-13
26  9  9.81458e-25
26 10  2.41989e-25
26 11  1.4671e-25
26 12  8.24109e-26
26 13  1.46888e-25
26 14  3.71339e-25
26 15  1.74452e-24
26 16  1.42552e-25
26 17  2.77798e-38
26 18  6.15654e-51
26 19  4.30414e-64
26 20  2.92178e-78
26 21  2.38652e-92
26 22  0
26 23  1.68155e-120
26 24  1.01213e-135
26 25  0
26 26  0
